3336,David Palmer,19,sean43@hotmail.com,Mathematics,3.16,2026
8774,Andrew Roach,23.0,vbecker@harvey.com,Chemistry,3.75,2027.0
1396,Jonathan Gonzalez,22.0,hollydavis@gmail.com,Physics,2.95,2027.0
6716,Kenneth Morrow,24.0,ganderson@wheeler-atkins.info,Physics,3.55,2029.0
8830,Kaitlyn Martinez,18.0,hayesdiane@gmail.com,Chemistry,2.29,2025.0
5305,Tiffany Wolf,23.0,qanderson@taylor.com,Mathematics,3.3,2029.0
5048,James Reyes,20.0,drodriguez@nguyen-cooper.info,Chemistry,2.44,2029.0
5986,Samantha Sellers,20.0,michelle27@hubbard-webster.com,Mathematics,3.44,2025.0
8721,Michael Kim,25.0,jacksonhannah@miles.com,Computer Science,3.27,2027.0
6622,Emily Davis,18.0,george02@hotmail.com,Physics,3.09,2030.0
3254,Adam Evans,20.0,bryantmargaret@hernandez.com,Physics,3.42,2026.0
8021,Alejandra Galloway,,danielpowers@schmidt.com,Chemistry,2.33,2027.0
9477,Cindy Johnston,22.0,james96@webb.org,Mathematics,3.76,2025.0
9144,Taylor Krueger II,20.0,hleon@smith.net,Computer Science,2.02,2025.0
4854,Kimberly Vang,23.0,,Computer Science,3.35,2030.0
3690,Alex Allen,24.0,shawkaren@smith.net,Physics,3.21,2029.0
4462,Dawn Caldwell,24.0,kelly96@gmail.com,Computer Science,3.92,
3255,Connie Cline,22.0,patelmercedes@green.com,Chemistry,3.42,2024.0
5446,Christine Smith,21.0,nicholasmejia@hotmail.com,Computer Science,3.43,2027.0
8125,Dana Burke,23.0,davismichael@yahoo.com,Physics,2.05,2025.0
3052,Suzanne Lopez,18.0,thomasbennett@gmail.com,Computer Science,2.33,2025.0
2602,Meagan Thompson,,robert13@gmail.com,Physics,3.68,2028.0
1866,Erica Welch,25.0,hernandezbrent@delgado-terry.com,Mathematics,3.84,2028.0
4908,Debra Reilly,21.0,amy78@jackson.com,Chemistry,3.82,2027.0
6711,Rachel Hill,22.0,elizabeth41@hill-johnson.com,Computer Science,2.99,2026.0
1165,Lauren Hill,22.0,timothy00@lopez.com,Biology,2.49,2024.0
7657,Andrea Castro,19.0,valvarez@hotmail.com,,3.16,2024.0
4776,Sarah Cruz,24.0,melissa92@hicks.com,Physics,3.56,2026.0
5711,Teresa Patrick PhD,25.0,hbrooks@nelson-bennett.info,Physics,3.58,2030.0
8511,Brittany Thompson,19.0,chavezallison@yahoo.com,Chemistry,2.82,2024.0
4009,Sean Wells,21.0,barreracourtney@nguyen.com,Physics,2.98,2029.0
7998,Robert Simmons,24.0,daniel00@gmail.com,Chemistry,3.21,2030.0
5676,William Holt,22.0,warrensmith@yahoo.com,Chemistry,2.15,2030.0
8134,Brandon Garcia,19.0,brandon58@cummings-johnson.biz,Computer Science,2.73,2030.0
5119,Alexander Jones,25.0,emily28@hotmail.com,Physics,2.92,2024.0
7304,William Anderson,25.0,jacob29@gmail.com,Mathematics,3.51,2024.0
3663,Shawna Glover,19.0,alison62@barrett.com,Biology,2.75,2028.0
6423,Susan Galvan,22.0,theresa04@gmail.com,Chemistry,3.26,2028.0
5155,Jason King,24.0,oliviawalls@hotmail.com,Chemistry,3.74,2024.0
1066,Alexander Simmons,19.0,,Biology,3.26,2028.0
5773,James Moore,24.0,daniel72@long.com,Physics,2.37,2024.0
8417,Frank Garza,19.0,jennifer82@cruz.com,Mathematics,2.67,2027.0
4235,Cynthia Parker DVM,22.0,jasminelewis@washington.com,Mathematics,2.02,2028.0
7002,Robert Smith,,amanda74@gmail.com,Chemistry,2.7,2028.0
5998,Marie Valdez,18.0,xwarner@nelson.com,Computer Science,3.5,2030.0
9661,Patty Duke,18.0,sparksanna@gmail.com,Chemistry,3.6,2027.0
5144,Teresa Lucas,20.0,epatel@edwards-smith.info,Biology,3.47,2029.0
3719,Melanie Lowe,25.0,nicolepruitt@bell-gibson.org,Computer Science,3.05,
9310,Isaiah Morales,25.0,lutzjason@neal.biz,Physics,3.06,2025.0
9271,Connor Fry,19.0,masseytom@gmail.com,Chemistry,3.94,2030.0
4603,Autumn Nguyen,22.0,john53@hotmail.com,Mathematics,2.13,2030.0
5001,Jasmin Pena,23.0,ajackson@hotmail.com,Chemistry,3.64,2025.0
5618,Mrs. Carol Williams MD,22.0,janice01@yahoo.com,Physics,3.56,2027.0
3205,Andrew Lutz,20.0,patrick16@yahoo.com,Chemistry,3.16,2029.0
8431,Julie Martin,25.0,angelawilliams@gmail.com,Chemistry,3.56,2030.0
4604,Lisa Brown,19.0,annette64@gmail.com,Physics,2.81,2025.0
7287,Holly King,23.0,williamsjack@randolph.com,Chemistry,2.94,2024.0
3481,Ricky Sanders,19.0,buckleyandrew@gmail.com,Computer Science,3.8,2027.0
3068,Gary Taylor,21.0,veronicarogers@yahoo.com,Mathematics,2.62,2030.0
4514,Arthur Thornton,25.0,kirstenowen@yahoo.com,Biology,2.1,2024.0
2499,Eric Leonard,23.0,theresarosales@gmail.com,Biology,2.39,2027.0
5212,William Smith,23.0,daniel93@lee-morris.com,Mathematics,3.29,2028.0
5550,Daniel Daniel,22.0,christianbrown@yahoo.com,Physics,3.51,2027.0
8265,Joel Nicholson,24.0,michaelpratt@murray.net,Chemistry,2.79,2027.0
6398,Benjamin Burke,18.0,colemary@cochran.net,Computer Science,2.47,2025.0
2706,Brandi Roberts,24.0,joshua76@yahoo.com,Computer Science,3.88,2025.0
9410,Patrick Anderson,19.0,meganlewis@butler-bright.com,Computer Science,2.75,2029.0
5851,Jerry Butler,19.0,sherri94@hines.net,Computer Science,2.18,2030.0
9842,Cynthia Garrett,19.0,rhall@gmail.com,Mathematics,3.18,2027.0
6069,Carrie Hall,20.0,stewartlori@yahoo.com,Chemistry,2.33,2029.0
7081,Paul Brown,22.0,uyoder@miller.com,Chemistry,3.46,2027.0
9812,William Villarreal,20.0,petersoncheryl@davis-bush.com,Physics,3.92,2030.0
1790,Randy Pittman,19.0,robin33@knapp.com,Physics,3.92,2028.0
8268,Alexandra Roth,,kristin46@hotmail.com,Mathematics,2.87,2025.0
1383,Stephanie Mitchell,18.0,michellemoody@williams.com,Chemistry,3.68,2026.0
4197,Michelle Kemp,23.0,susanwilliams@hotmail.com,Computer Science,2.53,
4517,Corey Hicks,25.0,fosterglen@gmail.com,Computer Science,3.23,2027.0
6733,Melinda Hancock,25.0,linda93@gmail.com,Biology,2.6,2026.0
5406,Julian Smith,22.0,joseph78@gmail.com,Computer Science,3.84,2029.0
5652,Brooke Davis,19.0,millerkevin@white.com,Chemistry,3.35,2030.0
4846,Diane Williams,20.0,zmclean@boyd.net,Computer Science,2.83,2027.0
9806,Stephanie Beck,18.0,rwinters@hotmail.com,Biology,2.74,2028.0
8526,Joe Kim,23.0,salinaschristine@gmail.com,Mathematics,3.5,2026.0
3257,Tammy Byrd,22.0,phillipsmith@gmail.com,Mathematics,3.67,2027.0
1214,Scott Gomez,24.0,jacksonjulie@estrada.org,Physics,3.28,2027.0
2921,Sean Davis,,tina80@miller-navarro.com,Computer Science,3.97,2024.0
1853,Luis Hunter,19.0,uschultz@palmer-lambert.biz,Biology,3.07,2027.0
4418,Rachel Mahoney MD,25.0,teresamitchell@hernandez.net,Computer Science,2.14,2028.0
6729,Christina Woodward,18.0,juan08@yahoo.com,Physics,3.52,2026.0
4509,Shawna Moore,21.0,joseyoung@richardson.net,Physics,3.16,2024.0
8646,Stacy Jones,18.0,currymelissa@coleman-meza.info,Mathematics,2.84,2028.0
4675,Ms. Susan Suarez,25.0,amanda13@smith.org,Biology,3.86,2025.0
9291,Donna Briggs,23.0,avalenzuela@norris-wood.org,Chemistry,2.3,2028.0
8808,Tiffany Russell,20.0,kimberly95@gmail.com,Physics,2.7,2030.0
5441,Shawn Phillips,25.0,mbass@hotmail.com,Mathematics,3.77,2030.0
6001,Peter Wilson,22.0,qcantu@woods.info,Chemistry,3.39,2024.0
5630,Joe Bernard,21.0,kimberly88@herring.info,Chemistry,3.2,2024.0
4311,Brittany Hamilton,21.0,smithkaren@yahoo.com,Biology,3.95,2024.0
6577,Maria Rogers,20.0,reneemartinez@hotmail.com,Physics,2.11,2027.0
6809,Rebecca Miller,23.0,michaelconner@hotmail.com,Biology,2.76,2024.0
2318,Bryan Velazquez,25.0,bpowell@gmail.com,Mathematics,3.0,2030.0
4948,William Montgomery,22.0,chavezryan@smith.com,Chemistry,2.85,2024.0
7574,Robert Berg,24.0,stephensbrenda@perez.com,Physics,3.97,2030.0
8155,Peter White,23.0,goodwinrachel@burke.org,Computer Science,3.52,2028.0
5776,Ashley Garcia,20.0,daviscory@yahoo.com,Physics,3.37,2030.0
